respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,household_adults,household_children,employment_industry,employment_occupation
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,1,2,2,1,2,3,0,0,1,0,0,1,1,2,2,0,0,20,17
1,3,2,0,1,0,1,0,1,1,0,0,0,0,0,1,5,4,4,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0,3,5
2,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,3,1,1,4,1,2,0,3,0,0,1,0,1,0,3,0,2,0,6,9
3,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,3,3,5,5,4,1,4,1,0,1,0,0,0,1,9,1,0,0,20,8
4,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,3,3,2,3,1,4,2,2,0,1,1,1,1,0,3,0,1,0,7,13
5,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,5,2,1,5,4,4,4,1,0,0,1,1,1,0,8,1,2,3,16,7
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,2,1,3,0,0,0,1,0,1,0,3,0,0,0,12,9
7,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,5,2,1,4,2,1,2,2,0,1,1,1,1,0,0,2,2,0,3,1
8,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,4,1,1,4,2,1,2,3,0,0,2,1,1,0,0,0,1,0,12,19
9,2,1,0,1,0,0,1,0,1,0,0,1,0,0,1,4,2,2,4,2,2,3,1,0,0,1,0,1,1,3,0,0,0,20,11
10,2,1,0,1,0,1,1,0,0,0,0,1,1,0,0,4,1,2,5,4,4,2,1,0,0,1,1,0,0,1,0,2,0,12,14
11,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,3,2,2,4,2,1,3,3,0,0,2,1,1,0,2,2,1,2,12,19
12,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,3,2,1,5,4,1,4,3,0,0,1,1,1,1,1,0,1,0,20,6
13,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,3,1,4,4,2,4,1,2,0,0,2,1,1,0,1,0,1,2,9,12
14,3,1,0,1,0,1,0,1,1,0,0,0,0,0,1,5,4,2,4,4,2,3,1,0,0,1,1,1,1,3,0,1,0,20,19
15,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,4,2,2,2,1,1,1,3,0,1,2,1,1,0,1,0,1,3,7,13
16,2,1,0,1,0,1,1,1,1,1,1,1,0,0,1,3,2,1,4,4,1,4,1,0,1,1,1,0,1,2,1,0,0,20,16
17,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,2,2,4,4,2,1,1,2,0,1,1,0,1,0,1,0,1,0,6,9
18,1,2,0,1,0,1,0,0,1,1,1,0,0,0,1,5,2,2,5,4,2,4,3,0,0,2,1,1,0,2,2,2,0,15,5
19,2,2,0,0,0,1,0,1,1,0,0,0,0,0,1,4,2,1,5,2,1,3,2,1,1,1,1,1,1,1,0,1,0,20,0
20,3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,4,2,2,4,2,2,3,3,1,1,1,0,0,1,3,1,0,0,20,15
21,2,2,0,1,0,1,0,0,1,1,0,0,0,0,1,3,3,1,3,3,1,3,2,0,1,2,0,1,0,3,0,1,0,9,3
22,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,4,2,2,4,1,2,2,3,0,1,2,1,1,0,4,0,2,1,7,13
23,3,0,1,0,0,1,1,1,1,0,0,0,0,0,0,5,5,4,4,4,4,0,0,1,1,0,0,0,1,1,2,1,2,20,2
24,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,2,2,2,1,2,1,0,1,1,0,1,0,1,2,2,2,2,0,20,6
25,1,2,0,1,0,1,0,0,1,0,0,0,0,0,1,3,2,2,2,4,2,2,2,0,1,1,1,0,0,0,0,1,1,7,13
26,3,1,0,0,0,1,0,0,0,1,1,1,0,0,1,3,2,4,5,5,4,2,3,0,1,1,1,0,0,5,1,1,2,9,0
27,3,2,0,1,0,1,1,1,1,0,0,0,0,0,0,4,2,2,2,2,2,4,2,0,1,1,1,1,1,0,2,1,0,20,10
28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,3,1,0,0,1,1,1,1,8,2,1,0,20,4
29,2,1,0,0,0,0,1,0,1,1,1,1,0,0,1,3,1,5,4,1,4,4,2,0,1,1,0,1,1,9,0,0,0,20,19
30,3,2,0,1,0,1,1,1,1,1,1,0,0,0,0,2,1,2,4,2,1,1,3,0,1,1,0,1,0,2,1,0,2,1,9
31,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4,2,4,4,1,2,0,2,3,1,0,0,1,1,5,0,3,0,20,16
32,2,2,0,1,0,1,0,0,1,0,0,0,0,0,1,4,2,2,4,2,2,1,2,1,0,1,1,1,2,1,1,1,2,20,14
33,2,1,0,1,0,1,0,0,0,1,1,0,0,0,1,5,4,4,5,2,4,4,1,0,1,1,0,1,1,4,0,0,0,20,22
34,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,5,1,2,4,2,1,0,3,0,0,2,1,1,0,5,0,1,2,7,21
35,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3,5,5,5,2,5,3,0,2,1,1,0,0,1,2,1,0,0,20,20
36,2,2,0,1,0,1,0,0,1,0,1,1,0,0,1,4,2,1,4,2,1,2,2,0,1,2,1,1,0,1,2,2,0,3,5
37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,1,1,2,2,0,1,1,0,1,0,1,1,0,0,9,16
38,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,3,1,2,3,2,2,4,3,0,0,0,1,1,1,0,0,1,0,20,22
39,2,1,0,1,0,1,0,0,1,0,0,1,0,0,1,5,4,2,5,4,2,4,0,0,1,2,0,1,0,3,0,0,0,3,5
40,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,4,4,1,5,2,1,2,2,0,0,1,0,0,0,6,0,0,0,12,14
41,2,1,0,1,0,1,0,1,1,0,0,0,1,1,1,4,4,4,4,4,2,3,2,0,1,2,1,1,0,3,0,1,0,2,4
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,5,3,1,0,0,1,1,1,0,2,2,1,0,16,7
43,2,1,1,1,0,1,1,0,1,1,1,0,0,0,1,4,2,4,1,4,4,0,3,1,0,2,0,0,1,1,1,0,1,20,20
44,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,1,1,3,3,0,1,1,0,0,0,4,1,1,0,10,9
45,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,2,2,2,4,4,5,0,2,0,1,2,1,0,0,5,0,2,1,10,3
46,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,5,1,1,3,1,0,1,2,1,1,1,1,0,1,0,20,13
47,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,5,1,2,5,1,2,0,3,0,0,2,1,1,0,5,0,1,0,10,9
48,3,2,0,1,1,1,1,1,1,0,0,0,0,0,0,5,4,1,5,5,1,2,3,0,1,1,1,1,0,9,2,1,0,7,13
49,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,4,2,5,4,1,0,3,0,1,2,1,1,1,3,1,1,3,20,7
50,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,4,2,1,4,2,1,2,3,0,0,1,1,1,0,7,2,1,2,2,15
